ID|LATITUDE|LONGITUDE|STATE|EPIDEMIC
2413|22.204|-100.926|San_Luis_Potosi|0
2651|22.207|-102.328|Aguascalientes|0
2866|22.21|-101.045|San_Luis_Potosi|0
3271|22.213|-97.852|Tamaulipas|0
3270|22.215|-97.858|Tamaulipas|0
2142|22.221|-97.918|Veracruz|1
3148|22.222|-97.848|Tamaulipas|0
3086|22.227|-102.318|Aguascalientes|0
3763|22.228|-97.87|Tamaulipas|0
3092|22.239|-97.863|Tamaulipas|0
3283|22.24|-97.846|Tamaulipas|0
3101|22.251|-97.847|Tamaulipas|0
3093|22.252|-97.84|Tamaulipas|0
2025|22.254|-100.938|San_Luis_Potosi|0
1277|22.254|-97.876|Tamaulipas|0
2427|22.258|-97.825|Tamaulipas|0
3100|22.263|-97.853|Tamaulipas|0
3152|22.266|-97.875|Tamaulipas|0
3775|22.266|-97.797|Tamaulipas|0
3730|22.268|-105.208|Nayarit|0
3851|22.282|-97.8|Tamaulipas|0
3577|22.283|-97.828|Tamaulipas|0
3149|22.285|-97.884|Tamaulipas|0
2140|22.291|-97.851|Tamaulipas|0
2323|22.308|-97.888|Tamaulipas|0
2141|22.315|-97.861|Tamaulipas|0
3628|22.326|-100.8|San_Luis_Potosi|0
2989|22.331|-97.87|Tamaulipas|0
3284|22.353|-97.85|Tamaulipas|0
3153|22.355|-97.895|Tamaulipas|0
3031|22.357|-102.886|Zacatecas|0
3150|22.366|-97.909|Tamaulipas|0
3147|22.386|-97.894|Tamaulipas|0
3151|22.393|-97.933|Tamaulipas|0
3349|22.398|-97.883|Tamaulipas|0
2962|22.401|-105.458|Nayarit|0
2579|22.405|-100.735|San_Luis_Potosi|0
3285|22.415|-97.938|Tamaulipas|0
3102|22.418|-97.884|Tamaulipas|0
2652|22.437|-102.25|Zacatecas|0
3813|22.445|-97.889|Tamaulipas|0
3836|22.476|-98.0|Tamaulipas|0
4121|22.478|-97.888|Tamaulipas|0
1217|22.492|-105.362|Nayarit|0
2963|22.502|-105.385|Nayarit|0
3870|22.537|-98.125|Tamaulipas|0
1162|22.545|-100.646|San_Luis_Potosi|0
3124|22.562|-102.233|Zacatecas|0
1551|22.65|-102.987|Zacatecas|0
3311|22.709|-98.978|Tamaulipas|0
2191|22.736|-102.519|Zacatecas|0
4198|22.736|-98.965|Tamaulipas|0
500|22.738|-102.555|Zacatecas|0
3310|22.748|-98.98|Tamaulipas|0
3843|22.749|-99.01|Tamaulipas|0
1417|22.755|-102.523|Zacatecas|0
502|22.756|-102.599|Zacatecas|0
501|22.766|-102.591|Zacatecas|0
826|22.767|-102.562|Zacatecas|0
1610|22.771|-102.577|Zacatecas|0
902|22.778|-102.573|Zacatecas|0
1954|22.785|-102.57|Zacatecas|0
3512|22.791|-103.522|Zacatecas|0
4203|22.826|-105.773|Sinaloa|0
4205|22.829|-105.782|Sinaloa|0
4204|22.833|-105.774|Sinaloa|0
4223|22.836|-105.78|Sinaloa|0
3134|22.876|-109.908|Baja_California_Sur|0
2448|22.882|-109.911|Baja_California_Sur|0
2783|22.892|-109.925|Baja_California_Sur|0
3345|22.892|-109.908|Baja_California_Sur|0
3747|22.893|-109.939|Baja_California_Sur|0
3929|22.899|-109.889|Baja_California_Sur|0
2927|22.903|-109.89|Baja_California_Sur|0
3875|22.904|-98.559|Tamaulipas|0
2449|22.905|-109.931|Baja_California_Sur|0
2784|22.908|-109.956|Baja_California_Sur|0
3121|22.909|-109.86|Baja_California_Sur|0
3636|22.911|-109.926|Baja_California_Sur|0
2779|22.929|-109.928|Baja_California_Sur|0
3510|22.929|-109.864|Baja_California_Sur|0
2798|22.93|-100.47|San_Luis_Potosi|0
4029|22.939|-109.936|Baja_California_Sur|0
1323|22.95|-102.7|Zacatecas|0
3796|22.979|-109.766|Baja_California_Sur|0
4141|22.986|-109.766|Baja_California_Sur|0
3615|22.988|-109.748|Baja_California_Sur|0
4201|22.988|-105.86|Sinaloa|0
3445|22.992|-109.733|Baja_California_Sur|0
2965|22.996|-105.853|Sinaloa|0
2956|23.0|-105.857|Sinaloa|0
4293|23.055|-109.714|Baja_California_Sur|0
3444|23.011|-109.725|Baja_California_Sur|0
3975|23.029|-109.728|Baja_California_Sur|0
3878|23.041|-98.744|Tamaulipas|0
2111|23.045|-109.697|Baja_California_Sur|0
2110|23.057|-109.698|Baja_California_Sur|0
3806|23.075|-109.723|Baja_California_Sur|0
2109|23.077|-109.664|Baja_California_Sur|0
4220|23.087|-106.022|Sinaloa|0
3389|23.09|-109.715|Baja_California_Sur|0
3446|23.104|-109.744|Baja_California_Sur|0
3933|23.118|-109.719|Baja_California_Sur|0
1497|23.141|-102.834|Zacatecas|0
3842|23.151|-109.706|Baja_California_Sur|0
2394|23.164|-100.526|San_Luis_Potosi|0
1985|23.173|-106.275|Sinaloa|0
107|23.176|-102.871|Zacatecas|0
3877|23.18|-98.76|Tamaulipas|0
3133|23.185|-109.706|Baja_California_Sur|0
2948|23.191|-106.208|Sinaloa|0
3597|23.194|-106.343|Sinaloa|0
3595|23.199|-106.414|Sinaloa|0
3214|23.201|-106.427|Sinaloa|0
4077|23.212|-106.399|Sinaloa|0
2968|23.213|-106.371|Sinaloa|0
108|23.215|-102.884|Zacatecas|0
3573|23.216|-106.416|Sinaloa|0
3616|23.225|-106.424|Sinaloa|0
3608|23.229|-106.405|Sinaloa|0
3657|23.23|-106.389|Sinaloa|0
3830|23.236|-106.422|Sinaloa|0
3667|23.236|-106.375|Sinaloa|0
3883|23.239|-106.439|Sinaloa|0
1975|23.242|-106.452|Sinaloa|0
2436|23.246|-106.434|Sinaloa|0
3587|23.246|-106.394|Sinaloa|0
3613|23.252|-106.42|Sinaloa|0
1974|23.258|-106.403|Sinaloa|0
3751|23.259|-106.437|Sinaloa|0
1986|23.259|-106.408|Sinaloa|0
3644|23.259|-106.381|Sinaloa|0
3729|23.267|-106.383|Sinaloa|0
3585|23.272|-106.413|Sinaloa|0
4242|23.278|-106.448|Sinaloa|0
3011|23.288|-106.469|Sinaloa|0
3760|23.423|-100.629|San_Luis_Potosi|0
2939|23.471|-106.568|Sinaloa|0
920|23.648|-100.64|San_Luis_Potosi|0
2910|23.677|-103.785|Zacatecas|0
3006|23.713|-99.091|Tamaulipas|0
3876|23.717|-98.955|Tamaulipas|0
3627|23.718|-99.131|Tamaulipas|0
3869|23.72|-99.145|Tamaulipas|0
3894|23.721|-99.164|Tamaulipas|0
3966|23.723|-99.153|Tamaulipas|0
2745|23.729|-99.138|Tamaulipas|0
3864|23.73|-99.148|Tamaulipas|0
3865|23.731|-99.111|Tamaulipas|0
3670|23.732|-103.986|Durango|0
2746|23.732|-99.129|Tamaulipas|0
3820|23.738|-99.141|Tamaulipas|0
3739|23.741|-99.155|Tamaulipas|0
3655|23.741|-99.11|Tamaulipas|0
3835|23.746|-99.127|Tamaulipas|0
3555|23.754|-99.142|Tamaulipas|0
3707|23.758|-99.155|Tamaulipas|0
3708|23.76|-99.131|Tamaulipas|0
3404|23.813|-100.72|San_Luis_Potosi|0
2823|23.822|-103.031|Zacatecas|0
4018|23.85|-104.244|Durango|0
4021|23.852|-99.114|Tamaulipas|0
3279|23.985|-104.663|Durango|0
3958|23.994|-104.632|Durango|0
3839|23.996|-104.658|Durango|0
3278|24.005|-104.674|Durango|0
3734|24.008|-104.642|Durango|0
3725|24.013|-104.661|Durango|0
3452|24.014|-104.627|Durango|0
3827|24.016|-104.674|Durango|0
2911|24.017|-104.695|Durango|0
3724|24.02|-104.646|Durango|0
3055|24.021|-104.682|Durango|0
2844|24.022|-104.67|Durango|0
2840|24.025|-104.655|Durango|0
2821|24.027|-103.433|Zacatecas|0
2842|24.029|-104.647|Durango|0
3847|24.029|-104.613|Durango|0
2841|24.034|-104.66|Durango|0
3848|24.035|-104.634|Durango|0
3938|24.04|-104.673|Durango|0
2912|24.042|-104.699|Durango|0
2843|24.043|-104.659|Durango|0
2909|24.048|-104.615|Durango|0
3862|24.05|-104.684|Durango|0
3782|24.05|-104.594|Durango|0
3462|24.053|-104.648|Durango|0
3856|24.056|-104.626|Durango|0
3255|24.058|-110.303|Baja_California_Sur|0
3863|24.064|-104.602|Durango|0
2520|24.066|-100.39|Nuevo_Leon|0
3853|24.068|-104.616|Durango|0
3783|24.075|-104.594|Durango|0
2067|24.087|-110.331|Baja_California_Sur|0
2780|24.089|-110.31|Baja_California_Sur|0
3403|24.09|-110.368|Baja_California_Sur|0
4096|24.106|-110.419|Baja_California_Sur|0
2782|24.123|-110.309|Baja_California_Sur|0
3396|24.125|-110.336|Baja_California_Sur|0
3054|24.132|-104.539|Durango|0
3257|24.14|-110.333|Baja_California_Sur|0
3677|24.142|-110.294|Baja_California_Sur|0
3256|24.143|-110.312|Baja_California_Sur|0
3678|24.158|-110.299|Baja_California_Sur|0
3258|24.159|-110.316|Baja_California_Sur|0
3497|24.184|-110.301|Baja_California_Sur|0
3905|24.218|-110.301|Baja_California_Sur|0
2822|24.295|-103.388|Zacatecas|0
3617|24.366|-104.313|Durango|0
2697|24.374|-100.394|Nuevo_Leon|0
3873|24.395|-110.69|Baja_California_Sur|0
4123|24.578|-100.266|Nuevo_Leon|0
2957|24.586|-107.399|Sinaloa|0
3016|24.636|-107.931|Sinaloa|0
2969|24.701|-107.443|Sinaloa|0
2959|24.739|-107.406|Sinaloa|0
3586|24.746|-107.455|Sinaloa|0
2960|24.757|-107.389|Sinaloa|0
3393|24.76|-107.435|Sinaloa|0
3472|24.761|-107.697|Sinaloa|0
2944|24.764|-107.593|Sinaloa|0
3142|24.77|-107.364|Sinaloa|0
3015|24.773|-107.458|Sinaloa|0
3630|24.773|-107.411|Sinaloa|0
3631|24.776|-107.446|Sinaloa|0
